mvalorarriendo,mareac,mnrocuartos,mnrobanos,mnrogarajes,mzona_nombre
923000,44.8,1.0,1.0,1.0,Suroccidente
2000000,198.0,3.0,4.0,2.0,Noroccidente
923000,44.8,1.0,1.0,1.0,Suroccidente
1527000,72.0,3.0,2.0,1.0,Noroccidente
900000,58.0,2.0,1.0,0.0,Suroccidente
1200000,89.0,2.0,1.0,1.0,Noroccidente
900000,80.0,3.0,2.0,0.0,Suroccidente
3700000,185.0,3.0,2.0,2.0,Noroccidente
900000,70.0,2.0,1.0,0.0,Suroccidente
947000,50.0,1.0,2.0,1.0,Noroccidente
1100000,47.0,1.0,1.0,0.0,Noroccidente
900000,72.0,3.0,2.0,0.0,Noroccidente
1300000,72.0,3.0,2.0,1.0,Noroccidente
1400000,78.0,3.0,2.0,1.0,Noroccidente
1600000,84.0,3.0,2.0,1.0,Noroccidente
720000,55.0,1.0,1.0,0.0,Noroccidente
1000000,92.0,2.0,1.0,0.0,Noroccidente
1650000,62.0,1.0,2.0,1.0,Noroccidente
1640000,68.0,3.0,2.0,0.0,Noroccidente
2000000,108.0,3.0,3.0,1.0,Noroccidente
1800000,108.0,3.0,3.0,1.0,Noroccidente
1200000,78.0,3.0,2.0,1.0,Noroccidente
1200000,45.0,1.0,1.0,0.0,Noroccidente
850000,50.0,2.0,1.0,0.0,Noroccidente
1450000,76.0,2.0,2.0,1.0,Noroccidente
1500000,72.0,3.0,2.0,1.0,Noroccidente
1275000,112.0,3.0,2.0,1.0,Noroccidente
1750000,82.0,2.0,2.0,1.0,Noroccidente
872500,80.0,2.0,1.0,1.0,Noroccidente
1650000,92.0,3.0,2.0,1.0,Noroccidente
1600000,101.0,2.0,2.0,1.0,Noroccidente
1000000,79.0,2.0,2.0,0.0,Noroccidente
900000,50.0,1.0,2.0,1.0,Noroccidente
1000000,12.0,1.0,1.0,0.0,Noroccidente
1450000,62.0,2.0,1.0,1.0,Noroccidente
1300000,60.0,1.0,2.0,1.0,Noroccidente
982000,77.0,2.0,2.0,0.0,Noroccidente
1990000,82.0,3.0,2.0,2.0,Noroccidente
850000,58.0,2.0,1.0,0.0,Suroccidente
1300000,58.0,3.0,2.0,1.0,Noroccidente
2000000,96.0,3.0,2.0,1.0,Noroccidente
1210000,74.0,2.0,2.0,1.0,Noroccidente
1135000,60.0,3.0,2.0,1.0,Noroccidente
1524000,90.0,3.0,2.0,1.0,Suroccidente
1300000,70.0,2.0,1.0,0.0,Suroccidente
1311000,52.0,1.0,2.0,1.0,Noroccidente
950000,42.0,1.0,1.0,1.0,Noroccidente
1400000,84.0,3.0,2.0,1.0,Noroccidente
1350000,84.0,3.0,2.0,1.0,Suroccidente
2180000,117.0,3.0,3.0,1.0,Noroccidente
650000,35.0,1.0,1.0,0.0,Suroccidente
2000000,200.0,3.0,2.0,1.0,Noroccidente
1120000,64.0,3.0,2.0,1.0,Otros
650000,58.0,2.0,1.0,0.0,Suroccidente
1250000,97.0,3.0,2.0,1.0,Noroccidente
800000,70.0,2.0,1.0,1.0,Suroccidente
1050000,76.0,3.0,2.0,1.0,Noroccidente
1226294,78.0,3.0,2.0,1.0,Noroccidente
900000,40.0,1.0,2.0,1.0,Noroccidente
1362000,80.0,3.0,2.0,1.0,Noroccidente
1200000,100.0,3.0,2.0,0.0,Suroccidente
1115000,88.0,2.0,2.0,1.0,Noroccidente
1600000,75.0,2.0,1.0,1.0,Noroccidente
1250000,80.0,3.0,2.0,1.0,Noroccidente
1250000,60.0,2.0,2.0,1.0,Noroccidente
1100000,50.0,1.0,2.0,1.0,Noroccidente
1040000,126.0,3.0,2.0,1.0,Noroccidente
912000,36.0,1.0,1.0,1.0,Noroccidente
1100000,42.0,1.0,1.0,1.0,Noroccidente
640000,65.0,1.0,1.0,0.0,Noroccidente
1000000,68.0,3.0,2.0,0.0,Suroccidente
1100000,70.0,3.0,2.0,0.0,Noroccidente
1206000,80.0,3.0,2.0,1.0,Noroccidente
1000000,93.0,3.0,2.0,1.0,Noroccidente
1534000,101.0,3.0,3.0,1.0,Noroccidente
1300000,70.0,2.0,2.0,1.0,Noroccidente
750000,35.0,2.0,1.0,0.0,Suroccidente
1201000,55.0,1.0,1.0,1.0,Noroccidente
